19:49:39.978 INFO  methods.MyWebElement -isEnabledOrNot -INTEND TO VERIFY WHETHER SPECIFIED WEBELEMENT IS ENABLED OR NOT
19:49:40.058 INFO  methods.MyWebElement -isEnabledOrNot -WEBELEMENT([[ChromeDriver: chrome on XP (59b3806a94c017368783d5da517b1c33)] -> xpath: /html/body/div[2]/div/div/div/div/div[2]/div/form/div[2]/input]) IS ENABLED
19:49:40.138 INFO  methods.MyWebElement -isEnabledOrNot -SUCCESSFULLY VERIFIED WETHER THE SPECIFIED WEBELEMENT([[ChromeDriver: chrome on XP (59b3806a94c017368783d5da517b1c33)] -> xpath: /html/body/div[2]/div/div/div/div/div[2]/div/form/div[2]/input]) IS ENABLED OR NOT
19:49:40.138 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:40.139 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:40.139 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:40.723 INFO  methods.MyWebElement -enterText -SUCCESSFULLY ENTERED THE TEXT(satish@123) INSIDE SPECIFIED WEBELEMENT([[ChromeDriver: chrome on XP (59b3806a94c017368783d5da517b1c33)] -> xpath: /html/body/div[2]/div/div/div/div/div[2]/div/form/div[2]/input])
19:49:40.724 INFO  accelarators.ActionDriver -screenShot -METHOD(screenShot) EXECUTION STARTED SUCCESSFULLY
19:49:41.370 INFO  accelarators.ActionDriver -screenShot -METHOD(screenShot) EXECUTED SUCCESSFULLY
19:49:41.370 INFO  utilities.Report -logTestCaseStatusWithSnapShot -INTEND TO LOG TEST CASE STATUS WITH DESCRIPTION AND SNAPSHOT IN EXTENT REPORT
19:49:41.370 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:41.370 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:41.377 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:41.377 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:41.377 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:41.378 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:41.378 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:41.378 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:41.378 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:41.378 INFO  accelarators.Base -filePresent -INTENDED TO CHECK IF THE SNAPSHOT FILE IS PRESENT
19:49:41.378 INFO  accelarators.Base -filePresent -FILE(D:\WorkspaceProject\FlipKart\Results\_2018-07-23_19_49_04_081\1_HelahChoiceLogin_Screen.png) IS PRESENT
19:49:41.379 INFO  accelarators.Base -filePresent -SUCCESSFULLY CHECKED IF THE SNAPSHOT FILE IS PRESENT
